"borough","block","lot","bbl","numfloors","yearbuilt","bldgclass","lotarea","bldgarea","xcoord","ycoord"
"MN",1949,50,1019490050,3,1899,"A9",1110,3360,996992,234157
"BK",6372,69,3063720069,3,1965,"C0",1837,2821,984030,159620
"BK",6436,44,3064360044,2,1920,"C0",1651,2508,982473,158966
"BK",850,69,3008500069,0,0,"V0",2003,0,981560,171610
"BK",6746,110,3067460110,2,1931,"S1",1155,1870,996091,164469
"MN",1472,33,1014720033,5,1928,"C5",2554,9000,997599,220113
"BK",6514,122,3065140122,0,0,"V0",280,0,991067,167053
"QN",6055,11,4060550011,0,0,"V0",5750,0,1046927,221533
"BX",2573,4,2025730004,0,0,"G7",1600,0,1008811,233364
"BK",1601,22,3016010022,0,0,"V0",2500,0,1001425,191640
"BK",4045,112,3040450112,0,0,"V0",1875,0,1015732,183348
"BK",5904,160,3059040160,0,0,"V0",240,0,974377,170630
"BK",5458,116,3054580116,0,0,"V0",200,0,987637,169250
"QN",11534,50,4115340050,0,0,"V0",2,0,1029110,184399
"BK",2737,35,3027370035,0,0,"V1",5,0,998271,200605
"BX",5004,52,2050040052,0,0,"V0",2375,0,1025737,264508
"BK",1891,58,3018910058,0,0,"V0",2000,0,993806,192436
"QN",724,17,4007240017,0,0,"V0",1240,0,1008261,215260
"BX",2907,1,2029070001,0,0,"V1",41,0,1011739,246478
"BK",888,63,3008880063,0,0,"V1",2504,0,988377,178834
